ARPSPOOFER; 2019-05-10 00:27:28; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:27:28; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-10 00:27:28; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:27:28; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:27:28; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:28; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:28; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:28; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:29; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:29; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:29; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:29; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:29; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:29; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:29; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:29; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:29; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:29; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:27:30; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:28:59; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:28:59; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:28:59; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-10 00:28:59; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:28:59; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:29:00; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:29:00; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:29:00; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:29:00; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:29:00; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:29:00; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:29:00; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:29:00; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:29:00; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:29:01; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:32:41; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:32:41; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:32:41; WARNING; Used kernel ipv4 forwarding feature.
